Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
Minnesota,B10,62.4,63.6,19.5,17.8,111.1,105.4,102.7,107.2
Mississippi,SEC,68.2,69.5,16.8,17.8,118,111.4,95.9,101.2
Mississippi St.,SEC,67.8,69.4,16.6,17.7,119,113.1,98.6,104.3
Mississippi Valley St.,SWAC,64.6,66.1,19.6,16.3,82.1,78.2,126.6,126.2
Missouri,SEC,68.2,69.7,16.5,17.6,126.1,121,100.4,102.5
Missouri St.,MVC,64.1,64.8,18.6,18.1,101.5,102.4,107.5,108.5
Monmouth,CAA,67.5,67.6,18.2,17.4,104.1,103.2,113.4,110.9
Montana,BSky,67.2,67.5,17.5,18,110.2,110,111.4,111.3
Montana St.,BSky,66.1,66.7,17.8,18.2,106.6,106.4,108.7,106.8
Morehead St.,OVC,63.9,64.7,19.7,17.3,98.4,98.3,112.8,107
Morgan St.,MEAC,70.2,71.4,16.6,16.8,103.7,105.4,119.2,115.8
Mount St. Mary's,MAAC,67.9,67.8,17.3,18.1,100.5,101.7,109,104
Murray St.,MVC,64.9,65.2,19,17.4,107.4,106.1,105.7,105.4
N.C. State,ACC,65.1,65.6,17.7,18.6,108.3,105.3,105.2,107.5
Navy,PL,66.9,66.8,18,17.7,101.9,104.1,111.1,105.5
Nebraska,B10,67.5,68.8,17.3,17.5,113.1,107.1,97.5,102.4
Nebraska Omaha,Sum,67.6,68.7,17.3,17.4,111.1,112,112.5,111.1
Nevada,MWC,63.7,64.6,18.2,18.8,113.7,111.6,103.1,103.9
New Hampshire,AE,67.4,68.4,18.1,16.9,94.6,95.8,115.7,112.5
New Mexico,MWC,73.2,73.6,14.9,17.7,113.6,109.4,96.5,96.8
New Mexico St.,CUSA,65.3,66.7,18.6,17.6,103.4,100.5,100.8,99.4
New Orleans,Slnd,69.3,69.6,17.8,16.5,99.6,97.2,117.4,117.2
Niagara,MAAC,65.2,64.9,18.9,17.9,100.6,101.9,114.7,108.8
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
