"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","UAB",70.001,79,69.3841,75,117.427,18,117.355,36,108.994,250,112.169,276,5.18549,107
"2025","UC Davis",68.4612,158,67.5689,180,96.915,340,97.1945,337,102.21,87,102.851,88,-5.6567,233
"2025","UC Irvine",69.4983,101,68.9041,107,105.254,202,105.594,209,92.8447,4,94.074,14,11.5199,70
"2025","UC Riverside",67.8136,194,67.4441,191,107.692,142,110.681,108,108.851,246,108.784,207,1.89714,143
"2025","UC San Diego",67.4902,210,66.2914,250,117.036,20,116.247,48,94.1327,7,97.6723,34,18.5746,35
"2025","UC Santa Barbara",66.2741,276,65.4668,291,110.594,80,109.32,133,103.293,108,107.548,181,1.77217,145
"2025","UCF",72.6653,14,72.1741,14,107.355,150,115.532,56,108.725,244,105.261,132,10.2701,80
"2025","UCLA",66.4929,268,65.0437,313,112.018,61,116.78,43,98.1201,26,95.0943,18,21.6855,27
"2025","UMass Lowell",69.6299,96,69.127,93,109.624,106,109.392,132,108.861,247,115.144,321,-5.75234,235
"2025","UMBC",70.8713,42,70.9065,33,107.548,146,107.076,178,111.824,311,118.342,355,-11.266,298
"2025","UNC Asheville",70.1917,69,68.5953,122,111.066,73,109.942,125,112.147,317,112.763,284,-2.82086,201
"2025","UNC Greensboro",64.6607,336,64.1626,336,109.635,105,108.604,146,104.153,133,105.79,140,2.81312,129
"2025","UNC Wilmington",66.3789,272,65.7955,278,114.77,33,113.206,78,104.584,146,108.124,193,5.08203,108
"2025","UNLV",65.9591,293,65.9428,271,105.476,191,108.234,158,102.987,100,100.465,59,7.76891,91
"2025","USC",69.4336,105,68.6699,120,109.793,100,116.615,47,108.121,227,104.128,110,12.4866,62
"2025","USC Upstate",73.4688,6,72.9067,6,99.2364,316,99.539,314,116.485,351,116.381,338,-16.842,338
"2025","UT Arlington",68.4761,156,67.9278,153,105.379,197,107.554,170,108.023,223,111.986,272,-4.43218,221
"2025","UT Rio Grande Valley",70.7514,47,70.6893,41,104.925,212,104.984,217,108.401,235,111.124,247,-6.14025,236
"2025","Utah",68.9487,128,68.8797,109,109.078,115,113.565,75,103.489,113,101.953,77,11.6124,68
"2025","Utah St.",67.8198,191,68.211,140,118.243,11,120.953,16,105.569,171,106.267,153,14.6861,56
"2025","Utah Tech",68.3804,166,67.5393,184,100.098,309,103.201,245,112.178,319,114.532,313,-11.3301,299
"2025","Utah Valley",68.7219,146,68.1656,142,107.306,151,106.519,196,100.149,53,102.98,90,3.53951,122
"2025","UTEP",68.882,132,68.7924,114,102.96,256,106.009,203,102.86,98,105.106,126,0.903015,151
"2025","UTSA",69.7584,89,70.3388,50,105.982,178,107.659,167,110.427,284,110.393,234,-2.7349,200
"2025","Valparaiso",68.5937,151,68.7564,117,105.496,190,106.538,194,110.747,288,112.086,274,-5.54832,230
"2025","Vanderbilt",69.9285,83,69.459,71,114.461,35,119.809,19,105.505,168,102.009,79,17.8005,38
"2025","VCU",66.8,246,66.5667,232,115.956,24,116.921,41,93.1602,5,95.6604,20,21.2607,28
"2025","Vermont",64.0723,352,62.575,358,101.428,282,100.277,305,101.818,78,105.525,137,-5.24893,227
"2025","Villanova",63.6642,355,63.2499,353,116.687,22,119.677,20,105.844,174,104.521,114,15.1558,55
"2025","Virginia",61.4103,361,61.3281,361,105.919,179,111.758,93,108.189,228,105.576,138,6.18153,102
"2025","Virginia Tech",66.1946,280,65.4922,290,105.309,200,108.361,153,109.311,257,106.798,163,1.56396,146
"2025","VMI",68.4839,155,68.5529,124,100.84,298,100.802,294,111.129,297,111.851,267,-11.0485,296
"2025","Wagner",60.3427,363,60.4462,363,94.2928,356,93.1075,361,103.255,105,111.383,253,-18.2759,348
"2025","Wake Forest",67.8804,189,67.4965,188,104.103,232,109.058,138,101.52,72,98.7407,47,10.3175,78
"2025","Washington",68.7791,143,68.2368,138,103.934,237,109.9,127,108.944,249,103.9,107,6.00018,104
"2025","Washington St.",71.2753,35,70.4308,49,109.319,110,111.779,92,109.594,261,108.162,195,3.61632,121
"2025","Weber St.",65.8666,297,65.8895,273,102.383,265,101.439,279,112.177,318,112.854,287,-11.4149,300
"2025","West Georgia",68.9362,130,68.2996,135,98.3878,323,97.3733,336,114.508,340,115.653,327,-18.2795,349
"2025","West Virginia",65.0095,325,64.4228,329,102.868,257,110.143,121,97.9235,22,94.5623,15,15.5808,53
"2025","Western Carolina",71.2045,37,70.9373,32,93.486,358,95.8429,346,112.701,327,113.14,291,-17.2975,340
"2025","Western Illinois",65.107,324,64.5107,326,101.127,286,99.516,315,111.468,305,117.787,349,-18.2712,347
"2025","Western Kentucky",73.3413,7,72.4063,10,100.813,300,104.428,225,101.64,74,102.553,84,1.87472,144
"2025","Western Michigan",69.567,97,68.1328,145,103.358,245,101.551,277,111.598,308,113.194,293,-11.643,301
"2025","Wichita St.",68.938,129,68.7031,119,106.249,169,108.441,151,104.931,153,105.119,127,3.32226,124
"2025","William & Mary",70.6996,49,71.3592,22,108.601,127,108.552,148,110.049,272,112.837,286,-4.28554,220
"2025","Winthrop",73.9359,4,72.9699,5,110.056,94,109.1,137,107.329,206,109.844,227,-0.743787,174
"2025","Wisconsin",68.8477,135,67.752,166,117.549,14,123.98,11,102.089,84,97.2456,30,26.734,10
"2025","Wofford",64.8402,328,64.406,331,110.758,77,112.2,89,108.481,237,109.42,218,2.78083,131
"2025","Wright St.",68.2963,171,67.8426,160,110.237,88,109.459,130,110.959,294,113.921,307,-4.46248,222
"2025","Wyoming",65.3955,317,65.1589,308,100.995,295,104.695,221,108.529,238,106.14,147,-1.44518,181
"2025","Xavier",69.3723,109,69.2374,82,110.669,79,114.825,62,100.382,57,98.22,42,16.6053,44
"2025","Yale",69.358,113,68.0833,148,118.246,10,115.853,55,102.054,81,104.731,119,11.1218,72
"2025","Youngstown St.",70.2153,68,69.7273,65,104.93,210,102.878,250,102.852,97,106.422,156,-3.544,213
